0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;4;4;4;0;0;4;0;2;0;0;2;2;0;2;6;4;2;0;2;2;4;6;0;4;2;4;2;4;4;2;2;2;2;2;0;2;2;0;6;0;4;2;0;0;6;4;0;2;0;0;0;0;2;2;0;4;0;0;2;2;2;2;4;2;0;2;2;2;4;4;4;2;2;0;0;0;2;2;6;2;0;0;0;2;2;2;2;0;0;2;0;4;4;4;2;4;0;0;6;0;2;0;2;2;2;2;4;0;4;6;2;2;0;0;2;2;2;2;4;0;4;4;4;2;2;0;2;0;2;0;2;2;4;4;4;0;4;2;2;2;2;0;0;2;2;6;4;0;4;2;2;2;2;0;2;0;6;0;0;4;2;4;4;4;0;2;0;0;2;2;2;2;0;0;0;2;6;2;2;0;0;0;2;2;4;4;4;2;2;2;0;2;4;2;2;2;2;0;0;4;0;2;2;0;0;0;0;2;0;4;6;0;0;2;4;0;6;0;2;2;0;2;2;2;2;2;4;4;2;4;2;4;0;6;4;2;2;0;2;4;6;2;0;2;2;0;0;2;0;4;0;0;4;4;4;
0;3;0;0;3;6;0;6;6;0;0;0;3;6;3;0;0;3;3;3;3;0;0;6;3;6;9;9;6;3;6;3;0;6;0;3;0;0;3;0;3;3;3;6;6;0;3;9;9;3;9;0;3;3;6;0;3;3;0;9;3;0;9;0;6;0;0;0;3;3;6;3;0;3;0;0;3;6;0;3;9;3;9;0;0;6;0;3;6;0;3;3;6;0;6;0;9;6;0;0;3;0;0;3;6;3;3;3;0;0;0;0;3;6;3;6;3;3;0;6;0;3;3;0;6;6;0;3;6;3;0;6;6;0;3;3;0;6;0;3;3;6;3;6;3;0;0;0;0;3;3;3;6;3;0;0;3;0;0;6;9;0;6;0;6;3;3;0;6;3;0;6;0;0;9;3;9;3;0;6;3;0;0;3;0;3;6;3;3;0;0;0;6;0;9;0;3;9;0;3;3;0;6;3;3;0;9;3;9;9;3;0;6;6;3;3;3;0;3;0;0;3;0;6;0;3;6;3;6;9;9;6;3;6;0;0;3;3;3;3;0;0;3;6;3;0;0;0;6;6;0;6;3;0;0;3;
0;4;4;4;4;0;4;0;0;4;4;12;0;4;0;4;0;4;4;4;8;8;0;16;12;0;4;4;0;0;8;8;0;0;4;4;4;4;12;4;4;0;4;4;4;8;4;0;4;0;0;4;8;4;8;4;0;8;0;8;8;4;4;0;4;4;4;0;0;0;0;4;8;8;4;0;4;0;8;8;4;16;0;0;0;16;12;0;4;0;4;4;8;4;4;4;4;4;0;4;12;0;4;4;8;4;4;0;4;0;4;4;0;0;4;0;12;4;8;4;4;4;0;4;4;0;8;4;8;4;8;0;4;4;0;4;4;4;8;4;12;0;4;0;0;4;4;0;4;0;4;4;8;4;4;0;12;4;0;4;4;4;4;4;8;4;4;0;4;0;12;16;0;0;0;16;4;8;8;0;4;0;4;8;8;4;0;0;0;0;4;4;4;0;4;4;8;8;0;8;0;4;8;4;8;4;0;0;4;0;4;8;4;4;4;0;4;4;12;4;4;4;4;0;0;8;8;0;0;4;4;0;12;16;0;8;8;4;4;4;0;4;0;4;0;12;4;4;0;0;4;0;4;4;4;4;
0;5;20;0;0;5;0;10;5;0;5;5;0;5;0;5;5;5;5;0;0;10;5;5;10;5;15;0;0;10;10;0;5;10;0;20;5;0;5;0;5;15;10;0;10;0;5;0;0;5;0;5;0;5;15;5;10;0;0;0;5;5;10;5;0;5;0;0;10;5;0;0;5;10;0;0;10;0;10;0;5;0;0;15;0;0;0;5;10;5;5;0;10;15;0;5;15;5;0;5;5;0;0;10;5;10;0;5;10;10;0;20;0;5;5;0;10;10;10;5;0;10;0;20;5;0;10;5;10;5;10;0;5;20;0;10;0;5;10;10;10;0;5;5;0;20;0;10;10;5;0;10;5;10;0;0;5;5;0;5;15;5;0;15;10;0;5;5;10;5;0;0;0;15;0;0;5;0;10;0;10;0;0;10;5;0;0;5;10;0;0;5;0;5;10;5;5;0;0;0;10;5;15;5;0;5;0;5;0;0;5;0;10;0;10;15;5;0;5;0;5;20;0;10;5;0;10;10;0;0;15;5;10;5;5;10;0;0;5;5;5;5;0;5;0;5;5;0;5;10;0;5;0;0;20;5;
0;0;18;0;0;0;12;0;12;6;0;12;0;6;6;6;6;6;6;0;0;0;6;6;0;6;0;18;0;6;0;6;12;12;6;18;12;6;6;18;6;12;0;6;24;6;0;18;6;18;12;6;18;0;6;0;0;0;0;12;12;0;6;12;0;6;6;0;18;0;6;6;0;0;0;0;12;36;0;0;0;12;6;12;12;6;6;6;0;6;0;0;0;0;12;0;0;12;12;0;12;0;6;12;0;6;6;12;6;0;0;6;18;0;0;0;0;6;0;6;0;18;12;6;12;0;12;0;12;0;12;0;12;6;12;18;0;6;0;6;0;0;0;0;18;6;0;0;6;12;6;6;0;12;6;0;12;0;12;12;0;0;12;0;0;0;0;6;0;6;6;6;12;12;6;12;0;0;0;36;12;0;0;0;0;6;6;0;18;0;6;6;0;12;6;0;12;12;0;0;0;0;6;0;18;6;12;18;6;18;0;6;24;6;0;12;6;18;6;6;12;18;6;12;12;6;0;6;0;18;0;6;0;6;6;0;0;0;6;6;6;6;6;6;0;12;0;6;12;0;12;0;0;0;18;0;
0;7;0;14;7;0;28;14;21;0;28;0;7;7;7;0;7;7;0;7;0;0;7;0;0;7;7;7;0;14;7;7;7;14;7;7;14;0;0;0;14;7;7;14;14;7;14;21;0;0;7;0;7;0;0;7;7;14;7;0;7;0;0;7;0;14;7;14;7;21;7;0;7;0;7;14;0;7;0;21;0;0;14;14;7;7;7;0;0;14;0;7;0;7;14;7;7;14;14;0;7;0;7;21;7;0;14;14;7;7;0;0;7;0;7;14;0;0;0;7;14;14;21;7;0;14;14;0;14;0;14;14;0;7;21;14;14;7;0;0;0;14;7;0;7;0;0;7;7;14;14;0;7;21;7;0;7;0;14;14;7;7;14;7;0;7;0;14;0;0;7;7;7;14;14;0;0;21;0;7;0;14;7;0;7;0;7;21;7;14;7;14;0;7;0;0;7;0;7;14;7;7;0;0;7;0;7;0;0;21;14;7;14;14;7;7;14;0;0;0;14;7;7;14;7;7;7;14;0;7;7;7;0;0;7;0;0;7;0;7;7;0;7;7;7;0;28;0;21;14;28;0;7;14;0;7;
0;0;16;0;8;8;0;8;16;24;8;24;16;24;16;8;0;0;0;8;0;0;16;0;8;8;0;0;0;8;24;8;16;8;16;16;16;48;0;8;8;8;8;0;8;8;0;0;16;0;0;0;16;16;0;16;0;0;0;16;0;8;24;24;8;0;0;8;8;8;16;8;8;0;0;0;16;0;0;0;0;0;0;16;8;24;8;8;16;8;8;0;16;0;0;0;8;8;0;16;0;16;0;8;0;24;0;16;8;16;8;8;0;8;16;0;8;8;8;0;8;16;8;16;24;0;0;16;0;16;0;0;24;16;8;16;8;0;8;8;8;0;16;8;0;8;8;16;8;16;0;24;0;8;0;16;0;16;0;8;8;0;0;0;16;0;8;8;16;8;8;24;8;16;0;0;0;0;0;0;16;0;0;0;8;8;16;8;8;8;0;0;8;24;24;8;0;16;0;0;0;16;0;16;16;0;0;0;16;0;0;8;8;0;8;8;8;8;0;48;16;16;16;8;16;8;24;8;0;0;0;8;8;0;16;0;0;8;0;0;0;8;16;24;16;24;8;24;16;8;0;8;8;0;16;0;
0;9;0;0;36;0;0;0;27;9;9;9;9;0;9;9;0;0;0;9;18;0;0;9;0;9;9;9;9;0;18;18;0;18;9;0;18;0;0;9;18;27;18;0;9;0;9;18;0;0;9;9;9;9;9;9;27;27;0;0;9;9;9;18;18;0;9;18;18;9;36;9;0;0;0;0;9;0;0;9;0;9;9;9;9;18;9;9;9;0;0;27;0;18;0;9;0;18;0;9;9;18;18;9;27;0;9;0;27;9;9;0;0;9;18;0;18;9;18;9;9;9;27;27;0;9;9;0;18;0;9;9;0;27;27;9;9;9;18;9;18;0;18;9;0;0;9;9;27;0;9;0;27;9;18;18;9;9;0;18;0;9;0;18;0;27;0;0;9;9;9;18;9;9;9;9;0;9;0;0;9;0;0;0;0;9;36;9;18;18;9;0;18;18;9;9;9;0;0;27;27;9;9;9;9;9;9;0;0;18;9;0;9;0;18;27;18;9;0;0;18;0;9;18;0;18;18;0;9;9;9;9;0;9;0;0;18;9;0;0;0;9;9;0;9;9;9;9;27;0;0;0;36;0;0;9;
0;30;10;30;0;0;30;10;0;10;20;30;0;10;10;30;20;10;10;0;0;30;10;0;0;10;10;0;0;20;10;10;40;10;10;0;10;30;20;0;10;0;10;10;0;0;10;10;20;10;10;10;20;20;10;0;0;0;10;0;0;0;0;0;0;10;20;20;10;0;0;10;10;0;10;10;20;20;0;0;20;10;0;0;0;0;40;0;20;40;0;20;20;0;0;0;10;0;0;30;0;10;20;10;20;0;10;10;0;10;20;10;20;10;10;0;10;20;0;20;10;10;20;0;0;0;30;10;0;10;30;0;0;0;20;10;10;20;0;20;10;0;10;10;20;10;20;10;0;10;10;0;20;10;20;10;0;30;0;0;10;0;0;0;20;20;0;40;20;0;40;0;0;0;0;10;20;0;0;20;20;10;10;0;10;10;0;0;10;20;20;10;0;0;0;0;0;0;10;0;0;0;10;20;20;10;10;10;20;10;10;0;0;10;10;0;10;0;20;30;10;0;10;10;40;10;10;20;0;0;10;10;0;0;10;30;0;0;10;10;20;30;10;10;0;30;20;10;0;10;30;0;0;30;10;30;
